step,intersection_id,vehicle_count,queue_length,waiting_time,average_speed,congestion_level
1,node_0_1,0,0,0.0,13.89,0
2,node_0_1,0,0,0.0,13.89,0
3,node_0_1,0,0,0.0,13.89,0
4,node_0_1,0,0,0.0,13.89,0
5,node_0_1,1,0,0.0,13.89,0
6,node_0_1,2,0,0.0,13.59,0
7,node_0_1,2,0,0.0,12.95,0
8,node_0_1,2,0,0.0,13.48,0
9,node_0_1,2,0,0.0,13.51,0
10,node_0_1,2,0,0.0,13.34,0
11,node_0_1,2,0,0.0,13.04,0
12,node_0_1,2,0,0.0,13.38,0
13,node_0_1,2,0,0.0,13.5,0
14,node_0_1,2,0,0.0,12.74,0
15,node_0_1,2,0,0.0,13.44,0
16,node_0_1,2,0,0.0,13.34,0
17,node_0_1,2,0,0.0,13.61,0
18,node_0_1,2,0,0.0,13.07,0
19,node_0_1,2,0,0.0,13.46,0
20,node_0_1,2,0,0.0,13.37,0
21,node_0_1,2,0,0.0,12.84,0
22,node_0_1,2,0,0.0,13.35,0
23,node_0_1,2,0,0.0,12.99,0
24,node_0_1,3,0,0.0,13.66,0
25,node_0_1,3,0,0.0,12.87,0
26,node_0_1,3,0,0.0,13.49,0
27,node_0_1,4,0,0.0,13.36,0
28,node_0_1,4,0,0.0,13.16,0
29,node_0_1,4,0,0.0,13.33,0
30,node_0_1,4,0,0.0,13.22,0
31,node_0_1,4,0,0.0,13.33,0
32,node_0_1,4,0,0.0,13.28,0
33,node_0_1,4,0,0.0,12.81,0
34,node_0_1,4,0,0.0,13.17,0
35,node_0_1,4,0,0.0,13.23,0
36,node_0_1,4,0,0.0,13.06,0
37,node_0_1,4,0,0.0,13.13,0
38,node_0_1,4,0,0.0,12.87,0
39,node_0_1,4,0,0.0,12.79,0
40,node_0_1,4,0,0.0,12.91,0
41,node_0_1,4,0,0.0,13.24,0
42,node_0_1,4,0,0.0,11.69,0
43,node_0_1,5,0,0.0,11.21,0
44,node_0_1,5,0,0.0,10.37,0
45,node_0_1,5,0,0.0,10.52,0
46,node_0_1,4,0,0.0,12.56,0
47,node_0_1,4,0,0.0,12.55,0
48,node_0_1,5,0,0.0,12.99,0
49,node_0_1,6,0,0.0,12.9,0
50,node_0_1,6,0,0.0,12.65,0
51,node_0_1,6,0,0.0,12.88,0
52,node_0_1,6,0,0.0,12.42,0
53,node_0_1,6,0,0.0,12.44,0
54,node_0_1,6,0,0.0,12.71,0
55,node_0_1,7,0,0.0,12.7,0
56,node_0_1,7,0,0.0,12.68,0
57,node_0_1,7,0,0.0,12.83,0
58,node_0_1,7,0,0.0,12.93,0
59,node_0_1,7,0,0.0,12.79,0
60,node_0_1,8,0,0.0,12.87,0
61,node_0_1,7,0,0.0,12.51,0
62,node_0_1,7,0,0.0,13.0,0
63,node_0_1,7,0,0.0,12.79,0
64,node_0_1,7,0,0.0,12.66,0
65,node_0_1,7,0,0.0,12.53,0
66,node_0_1,7,0,0.0,11.9,0
67,node_0_1,7,0,0.0,11.33,0
