step,intersection_id,vehicle_count,queue_length,waiting_time,average_speed,congestion_level
44,node_0_0,29,2,4.0,11.83,0
45,node_0_0,30,2,6.0,11.75,0
46,node_0_0,32,2,8.0,11.41,0
47,node_0_0,32,2,10.0,11.03,0
48,node_0_0,32,2,12.0,10.92,0
49,node_0_0,34,3,15.0,10.84,1
50,node_0_0,35,3,18.0,10.62,1
51,node_0_0,36,4,22.0,10.6,1
52,node_0_0,37,5,27.0,10.42,1
53,node_0_0,38,5,32.0,10.45,1
54,node_0_0,38,5,37.0,10.24,1
55,node_0_0,39,7,44.0,10.19,1
56,node_0_0,38,7,51.0,10.06,1
57,node_0_0,39,7,58.0,10.0,1
58,node_0_0,40,7,65.0,9.85,1
59,node_0_0,41,8,73.0,9.79,1
60,node_0_0,40,9,82.0,9.78,2
61,node_0_0,43,9,91.0,10.0,2
62,node_0_0,43,9,100.0,10.04,2
63,node_0_0,45,9,109.0,10.22,2
64,node_0_0,44,9,118.0,10.04,2
65,node_0_0,46,9,127.0,9.89,2
66,node_0_0,46,9,136.0,9.72,2
67,node_0_0,47,9,145.0,9.48,2
68,node_0_0,47,10,155.0,9.15,2
69,node_0_0,49,11,166.0,9.11,2
70,node_0_0,50,11,177.0,8.9,2
71,node_0_0,50,13,190.0,8.67,2
72,node_0_0,50,13,203.0,8.43,2
73,node_0_0,51,15,218.0,8.43,2
74,node_0_0,51,16,234.0,8.3,2
75,node_0_0,53,16,250.0,8.29,2
76,node_0_0,52,17,267.0,8.13,2
77,node_0_0,54,18,285.0,8.17,2
78,node_0_0,54,18,303.0,8.01,2
79,node_0_0,54,18,321.0,7.91,2
80,node_0_0,54,19,340.0,7.7,2
81,node_0_0,56,20,360.0,7.87,2
82,node_0_0,57,20,380.0,7.79,2
83,node_0_0,58,21,401.0,7.79,2
84,node_0_0,58,21,422.0,7.78,2
85,node_0_0,60,21,443.0,7.79,2
86,node_0_0,59,21,464.0,7.56,2
87,node_0_0,61,23,487.0,7.56,2
88,node_0_0,60,23,510.0,7.27,2
89,node_0_0,62,24,534.0,7.34,2
90,node_0_0,62,25,559.0,7.08,2
91,node_0_0,62,26,585.0,6.95,2
92,node_0_0,61,27,612.0,6.55,2
93,node_0_0,63,28,640.0,6.67,2
94,node_0_0,63,29,669.0,6.54,2
95,node_0_0,64,30,699.0,6.34,2
96,node_0_0,63,31,730.0,6.25,2
97,node_0_0,64,31,761.0,6.4,2
98,node_0_0,64,32,793.0,6.32,2
99,node_0_0,66,32,825.0,6.25,2
100,node_0_0,66,32,857.0,6.12,2
