step,intersection_id,vehicle_count,queue_length,waiting_time,average_speed,congestion_level
1,node_1_0,0,0,0.0,13.89,0
2,node_1_0,0,0,0.0,13.89,0
3,node_1_0,1,0,0.0,13.03,0
4,node_1_0,1,0,0.0,12.56,0
5,node_1_0,1,0,0.0,12.2,0
6,node_1_0,1,0,0.0,12.77,0
7,node_1_0,2,0,0.0,12.27,0
8,node_1_0,2,0,0.0,11.37,0
9,node_1_0,2,0,0.0,11.49,0
10,node_1_0,2,0,0.0,11.54,0
11,node_1_0,2,0,0.0,11.16,0
12,node_1_0,2,0,0.0,11.85,0
13,node_1_0,2,0,0.0,11.39,0
14,node_1_0,2,0,0.0,11.83,0
15,node_1_0,2,0,0.0,11.91,0
16,node_1_0,2,0,0.0,11.89,0
17,node_1_0,2,0,0.0,11.61,0
18,node_1_0,2,0,0.0,11.76,0
19,node_1_0,2,0,0.0,12.19,0
20,node_1_0,2,0,0.0,12.16,0
21,node_1_0,2,0,0.0,11.79,0
22,node_1_0,3,0,0.0,12.28,0
23,node_1_0,4,0,0.0,12.55,0
24,node_1_0,4,0,0.0,12.24,0
25,node_1_0,4,0,0.0,12.48,0
26,node_1_0,4,0,0.0,12.58,0
27,node_1_0,4,0,0.0,12.46,0
28,node_1_0,4,0,0.0,12.2,0
29,node_1_0,4,0,0.0,12.37,0
30,node_1_0,4,0,0.0,12.26,0
31,node_1_0,4,0,0.0,12.11,0
32,node_1_0,4,0,0.0,12.58,0
33,node_1_0,4,0,0.0,12.12,0
34,node_1_0,4,0,0.0,12.49,0
35,node_1_0,4,0,0.0,12.53,0
36,node_1_0,4,0,0.0,12.89,0
37,node_1_0,5,0,0.0,12.87,0
38,node_1_0,5,0,0.0,12.64,0
39,node_1_0,5,0,0.0,12.56,0
40,node_1_0,5,0,0.0,12.81,0
41,node_1_0,5,0,0.0,12.5,0
42,node_1_0,5,0,0.0,11.74,0
43,node_1_0,6,0,0.0,11.2,0
44,node_1_0,6,0,0.0,10.65,0
45,node_1_0,6,1,1.0,10.39,0
46,node_1_0,5,0,0.0,12.63,0
