step,intersection_id,vehicle_count,queue_length,waiting_time,average_speed,congestion_level
1,node_1_1,0,0,0.0,13.89,0
2,node_1_1,0,0,0.0,13.89,0
3,node_1_1,0,0,0.0,13.89,0
4,node_1_1,0,0,0.0,13.89,0
5,node_1_1,0,0,0.0,13.89,0
6,node_1_1,0,0,0.0,13.89,0
7,node_1_1,0,0,0.0,13.89,0
8,node_1_1,0,0,0.0,13.89,0
9,node_1_1,1,0,0.0,13.89,0
10,node_1_1,2,0,0.0,12.99,0
11,node_1_1,2,0,0.0,12.26,0
12,node_1_1,2,0,0.0,12.35,0
13,node_1_1,3,0,0.0,12.04,0
14,node_1_1,3,0,0.0,11.81,0
15,node_1_1,3,0,0.0,11.8,0
16,node_1_1,3,0,0.0,11.89,0
17,node_1_1,3,0,0.0,12.06,0
18,node_1_1,3,0,0.0,12.08,0
19,node_1_1,3,0,0.0,11.79,0
20,node_1_1,3,0,0.0,12.2,0
21,node_1_1,3,0,0.0,11.83,0
22,node_1_1,3,0,0.0,12.04,0
23,node_1_1,3,0,0.0,12.46,0
24,node_1_1,5,0,0.0,12.35,0
25,node_1_1,5,0,0.0,12.17,0
26,node_1_1,5,0,0.0,11.86,0
27,node_1_1,5,0,0.0,12.01,0
28,node_1_1,5,0,0.0,11.81,0
29,node_1_1,5,0,0.0,12.17,0
30,node_1_1,5,0,0.0,11.61,0
31,node_1_1,5,0,0.0,11.88,0
32,node_1_1,5,0,0.0,12.06,0
33,node_1_1,5,0,0.0,11.86,0
34,node_1_1,5,0,0.0,12.02,0
35,node_1_1,5,0,0.0,11.93,0
36,node_1_1,5,0,0.0,12.14,0
37,node_1_1,5,0,0.0,11.82,0
38,node_1_1,6,0,0.0,12.19,0
39,node_1_1,7,0,0.0,12.48,0
40,node_1_1,7,0,0.0,12.2,0
41,node_1_1,7,0,0.0,12.21,0
42,node_1_1,7,0,0.0,11.99,0
43,node_1_1,8,0,0.0,12.14,0
44,node_1_1,8,0,0.0,12.08,0
45,node_1_1,8,0,0.0,11.82,0
46,node_1_1,7,0,0.0,12.18,0
47,node_1_1,7,0,0.0,11.72,0
48,node_1_1,7,0,0.0,12.32,0
49,node_1_1,8,0,0.0,11.87,0
50,node_1_1,8,0,0.0,11.9,0
51,node_1_1,8,0,0.0,11.95,0
52,node_1_1,9,0,0.0,11.95,0
53,node_1_1,9,0,0.0,11.16,0
54,node_1_1,10,0,0.0,11.27,0
55,node_1_1,10,1,1.0,11.1,0
56,node_1_1,10,1,2.0,10.98,0
57,node_1_1,9,1,3.0,11.02,0
58,node_1_1,9,1,4.0,11.21,0
59,node_1_1,9,1,5.0,11.0,0
60,node_1_1,9,1,6.0,11.22,0
61,node_1_1,10,1,7.0,10.98,0
62,node_1_1,10,1,8.0,11.07,0
63,node_1_1,11,1,9.0,11.04,0
64,node_1_1,11,1,10.0,10.68,0
65,node_1_1,10,0,0.0,11.64,0
66,node_1_1,10,1,1.0,11.18,0
67,node_1_1,10,1,2.0,11.24,0
68,node_1_1,10,1,3.0,11.41,0
69,node_1_1,11,1,4.0,11.58,0
70,node_1_1,11,1,5.0,11.48,0
71,node_1_1,11,1,6.0,11.41,0
72,node_1_1,11,1,7.0,11.4,0
73,node_1_1,12,1,8.0,11.81,0
74,node_1_1,12,1,9.0,11.49,0
75,node_1_1,12,1,10.0,11.46,0
76,node_1_1,11,1,11.0,11.35,0
77,node_1_1,11,1,12.0,11.42,0
78,node_1_1,11,1,13.0,11.46,0
79,node_1_1,11,1,14.0,11.23,0
80,node_1_1,12,1,15.0,11.11,0
81,node_1_1,12,1,16.0,10.61,1
82,node_1_1,12,1,17.0,9.99,1
83,node_1_1,12,2,19.0,9.63,1
84,node_1_1,13,2,21.0,9.59,1
85,node_1_1,13,2,23.0,9.24,1
86,node_1_1,13,3,26.0,9.11,1
87,node_1_1,14,3,29.0,8.78,1
88,node_1_1,14,4,33.0,8.72,1
89,node_1_1,13,4,37.0,8.15,1
90,node_1_1,13,4,41.0,8.17,1
91,node_1_1,14,4,45.0,8.02,1
92,node_1_1,14,4,49.0,7.7,1
93,node_1_1,14,4,53.0,7.52,1
94,node_1_1,15,5,58.0,8.06,1
95,node_1_1,17,5,63.0,8.29,1
96,node_1_1,17,5,68.0,8.48,1
97,node_1_1,19,5,73.0,8.78,1
98,node_1_1,19,5,78.0,8.73,1
99,node_1_1,21,5,83.0,9.03,2
100,node_1_1,21,5,88.0,8.73,2
1,node_1_1,0,0,0.0,13.89,0
2,node_1_1,0,0,0.0,13.89,0
3,node_1_1,0,0,0.0,13.89,0
4,node_1_1,0,0,0.0,13.89,0
5,node_1_1,0,0,0.0,13.89,0
6,node_1_1,0,0,0.0,13.89,0
7,node_1_1,1,0,0.0,11.9,0
8,node_1_1,2,0,0.0,12.78,0
9,node_1_1,2,0,0.0,12.06,0
10,node_1_1,3,0,0.0,12.46,0
11,node_1_1,4,0,0.0,11.37,0
12,node_1_1,5,0,0.0,11.72,0
13,node_1_1,5,0,0.0,12.07,0
14,node_1_1,5,0,0.0,12.38,0
15,node_1_1,6,0,0.0,12.92,0
16,node_1_1,8,0,0.0,12.43,0
17,node_1_1,8,0,0.0,12.21,0
18,node_1_1,8,0,0.0,12.61,0
19,node_1_1,9,0,0.0,12.82,0
20,node_1_1,10,0,0.0,13.0,0
21,node_1_1,10,0,0.0,12.63,0
22,node_1_1,11,0,0.0,12.77,0
23,node_1_1,12,0,0.0,12.45,0
24,node_1_1,13,0,0.0,12.49,0
25,node_1_1,13,0,0.0,12.34,0
26,node_1_1,13,0,0.0,12.4,0
27,node_1_1,14,0,0.0,12.68,0
28,node_1_1,16,0,0.0,12.67,0
29,node_1_1,16,0,0.0,12.27,0
30,node_1_1,16,0,0.0,12.54,0
31,node_1_1,17,0,0.0,12.52,0
32,node_1_1,18,0,0.0,12.43,0
33,node_1_1,18,0,0.0,12.56,0
34,node_1_1,19,0,0.0,12.53,0
35,node_1_1,20,0,0.0,12.42,0
36,node_1_1,21,0,0.0,12.47,0
37,node_1_1,21,0,0.0,12.58,0
38,node_1_1,21,0,0.0,12.48,0
39,node_1_1,22,0,0.0,12.57,0
40,node_1_1,24,0,0.0,12.54,0
41,node_1_1,24,0,0.0,12.63,0
42,node_1_1,24,0,0.0,12.67,0
43,node_1_1,25,0,0.0,12.66,0
44,node_1_1,26,0,0.0,12.65,0
45,node_1_1,26,0,0.0,12.35,0
46,node_1_1,27,0,0.0,12.43,0
47,node_1_1,28,0,0.0,12.15,0
48,node_1_1,30,1,1.0,12.15,0
49,node_1_1,29,1,2.0,11.92,0
50,node_1_1,29,1,3.0,11.84,0
51,node_1_1,29,1,4.0,11.58,0
52,node_1_1,31,1,5.0,11.51,0
53,node_1_1,31,2,7.0,11.21,0
54,node_1_1,30,2,9.0,11.07,0
55,node_1_1,30,2,11.0,11.3,0
56,node_1_1,32,3,14.0,11.45,1
57,node_1_1,32,3,17.0,11.4,1
58,node_1_1,33,3,20.0,11.35,1
59,node_1_1,33,3,23.0,11.27,1
60,node_1_1,34,3,26.0,11.34,1
61,node_1_1,35,3,29.0,11.38,1
62,node_1_1,36,3,32.0,11.22,1
63,node_1_1,37,4,36.0,11.23,1
64,node_1_1,40,4,40.0,11.01,1
65,node_1_1,38,2,13.0,11.12,0
66,node_1_1,38,0,0.0,10.71,0
67,node_1_1,39,1,1.0,10.76,0
68,node_1_1,41,2,3.0,10.78,0
69,node_1_1,39,2,5.0,11.23,0
70,node_1_1,40,3,8.0,11.15,1
71,node_1_1,39,3,11.0,11.15,1
72,node_1_1,41,3,14.0,11.01,1
73,node_1_1,40,3,17.0,10.95,1
74,node_1_1,39,4,21.0,10.69,1
75,node_1_1,40,4,25.0,10.5,1
76,node_1_1,43,6,31.0,10.6,1
77,node_1_1,42,6,37.0,10.31,1
78,node_1_1,42,7,44.0,10.15,1
79,node_1_1,43,8,52.0,10.32,1
80,node_1_1,45,8,60.0,10.51,1
81,node_1_1,44,8,68.0,10.28,1
82,node_1_1,45,8,76.0,10.14,1
83,node_1_1,46,8,84.0,9.92,2
84,node_1_1,47,8,92.0,9.74,2
85,node_1_1,46,10,102.0,9.41,2
86,node_1_1,46,10,112.0,9.31,2
87,node_1_1,47,11,123.0,9.42,2
88,node_1_1,51,12,135.0,9.41,2
89,node_1_1,50,12,147.0,9.11,2
90,node_1_1,50,12,159.0,9.0,2
91,node_1_1,52,12,171.0,8.89,2
92,node_1_1,54,13,184.0,8.7,2
93,node_1_1,53,13,197.0,8.39,2
94,node_1_1,54,14,211.0,8.59,2
95,node_1_1,55,15,226.0,8.47,2
96,node_1_1,57,15,241.0,8.35,2
97,node_1_1,56,17,258.0,8.14,2
98,node_1_1,56,18,276.0,7.84,2
99,node_1_1,57,18,294.0,7.55,2
100,node_1_1,60,21,315.0,7.38,2
